id,persona,text
85,disengaged_cynic,"People will do the training, but behaviours won’t change."
86,disengaged_cynic,I worry this will create extra workload without meaningful outcomes.
87,disengaged_cynic,It seems like we focus on statements instead of structural action.
88,disengaged_cynic,I don’t trust that difficult findings will be acted on.
89,disengaged_cynic,This will probably lose momentum after a few months.
90,disengaged_cynic,I feel tired of repeating the same conversations.
91,disengaged_cynic,I’m not sure there’s genuine commitment to changing incentives.
92,disengaged_cynic,"When problems are raised, they often get minimised or managed away."
93,disengaged_cynic,I expect progress reporting will focus on easy wins.
94,disengaged_cynic,I think the organisation will avoid uncomfortable changes.
95,disengaged_cynic,I’m doubtful that accountability will be real rather than symbolic.
96,disengaged_cynic,"I’ve heard promises before, and the outcomes didn’t match."
97,disengaged_cynic,It’s hard to stay engaged when the same barriers persist.
98,disengaged_cynic,I’m not convinced staff input will lead to action.
99,disengaged_cynic,"This might help reputationally, but not materially."
100,disengaged_cynic,I’ll believe it when I see sustained change over time.
